#,COMPANY NAME,CATEGORY,US PRESENCE,WEBSITE (as in sheet),EMAIL (as in sheet),WEBSITE STATUS,EMAIL DELIVERABILITY,VERDICT,CORRECTED WEBSITE,CORRECTED CONTACT,NOTES
1,Masamoto Sohonten,Japanese Knives,Japan only,masamoto.jp,info@masamoto.jp,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
2,Misono,Japanese Knives,Japan only,misonocutlery.com,info@misono.us,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,,,
3,Sakai Takayuki,Japanese Knives,Japan only,sakai-takayuki.jp,info@sakai-takayuki.com,DOMAIN DOES NOT EXIST,MX OK,BROKEN - website,,,
4,Yoshihiro,Japanese Knives,Yes (US),yoshihiroknife.com,info@yoshiiroknife.com,RESOLVES,DOMAIN DOES NOT EXIST,BROKEN - email,,,
5,Shun (KAI USA),Japanese Knives,Yes (USA HQ),kaiusa.com,marketing@kaiusa.com,RESOLVES,NO MX - cannot receive mail,BROKEN - email,,,
6,Miyabi (Zwilling),Japanese Knives,Yes (USA HQ),miyabi-knives.com,press@zwilling.com,RESOLVES,MX OK,OK,,,
7,Global,Japanese Knives,Yes (US dist.),yoshikin.co.jp,info@yoshikin.co.jp,RESOLVES,MX OK,OK,,,
8,Tojiro,Japanese Knives,Yes (US dist.),tojiro.com,info@tojiro.com,RESOLVES,MX OK,OK,,,
9,MAC Knife,Japanese Knives,Yes (USA),macknife.com,info@macknife.com,RESOLVES,MX OK,OK,,,
10,Aritsugu,Japanese Knives,Japan only,aritsugu.co.jp,info@aritsugu.co.jp,RESOLVES,MX OK,OK,,,
11,Koshihikari (variety),Premium Japanese Rice,Japan only,,,(blank),(no email in sheet),OK,,,
12,Tamanishiki,Premium Japanese Rice,Yes (USA),tamanishikiusa.com,info@tamanishikiusa.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
13,Tamaki Gold,Premium Japanese Rice,Yes (USA),tamakirice.com,info@tamakirice.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
14,Shirakiku,Premium Japanese Rice,Yes (USA),shirakiku.com,info@shirakiku.com,RESOLVES,NO MX - cannot receive mail,BROKEN - email,,,
15,Nishiki,Premium Japanese Rice,Yes (USA),nishikirice.com,info@nishikirice.com,RESOLVES,MX OK,OK,,,
16,Kagayaki,Premium Japanese Rice,Yes (US dist.),kagayakirice.com,info@kagayakirice.com,RESOLVES,MX OK,OK,,,
17,Toyama Koshihikari,Premium Japanese Rice,Japan only,ja-toyama.or.jp,,RESOLVES,(no email in sheet),OK,,,
18,Yuki Tsubaki,Premium Japanese Rice,Japan only,,,(blank),(no email in sheet),OK,,,
19,Sekka,Premium Japanese Rice,Yes (USA),sekkarice.com,info@sekkarice.com,DOMAIN DOES NOT EXIST,DOMAIN DOES NOT EXIST,BROKEN - both,,,
20,Shinmei,Premium Japanese Rice,Japan only,shinmei.co.jp,info@shinmei.co.jp,RESOLVES,MX OK,OK,,,
21,Dassai (Asahi Shuzo),Premium Sake,Yes (USA),dassai.com,info@dassai.us,RESOLVES,NO MX - cannot receive mail,BROKEN - email,dassai.com / dassai-blue.com,press@dassai.com,Verified Aug: press@dassai.com. dassai.us has NO MX - guaranteed bounce.
22,Kubota,Premium Sake,Japan only,asahi-shuzo.co.jp,info@asahi-shuzo.co.jp,RESOLVES,MX OK,OK,,,
23,Hakkaisan,Premium Sake,Yes (US imp.),hakkaisan.com,info@hakkaisan.com,RESOLVES,MX OK,WRONG CONTACT (verified),hakkaisan.com,press@hakkaisan.co.jp,"Verified Aug: press@hakkaisan.co.jp, plus named ENGLISH-language PR staff (Sasagawa / Baba, Intl Marketing). Tokyo 03-6264-3366."
24,Born,Premium Sake,Japan only,born.co.jp,info@born.co.jp,RESOLVES,MX OK,OK,,,
25,Dewazakura,Premium Sake,Japan only,dewazakura.com,info@dewazakura.com,RESOLVES,NO MX - cannot receive mail,BROKEN - email,,,
