#,COMPANY NAME,CATEGORY,US PRESENCE,WEBSITE,EMAIL,CONTACT TYPE,SOURCE / VERIFICATION,STATUS,NOTES
1,Masamoto Sohonten,Japanese Knives,Japan only,masamoto-sohonten.co.jp,support@masamoto-sohonten.co.jp,General/business,https://www.masamoto-sohonten.co.jp/en/contact_us/,FIXED - verified 02 Sep,Verified on page
2,Misono,Japanese Knives,Japan only,misonoknives.us,contact@misonoknives.us,General,https://misonoknives.us/contact.html,FIXED - verified 02 Sep,"Decoded from Cloudflare obfuscation, verified"
3,Sakai Takayuki,Japanese Knives,Japan only,sakaitakayukiknives.com,(email cannot receive mail - see note),Website only - NO WORKING EMAIL,https://sakaitakayukiknives.com/contact,FIXED - verified 02 Sep,"CAUTION: info@sakaitakayukiknives.com IS PRINTED on their own contact page, but the domain sakaitakayukiknives.com has NO MX RECORD (confirmed across 3 independent DNS resolvers) - mail sent to it will bounce even though the address looks legitimate. This is a real trap: always MX-check even an on-page address. Real, live website confirmed (Cloudflare-hosted). Recommend using their contact FORM instead of the printed email, or reaching out via a listed retailer."
4,Yoshihiro,Japanese Knives,Yes (US),echefknife.com,info@echefknife.com,"General (US showroom, Yoshihiro Cutlery)",https://www.echefknife.com/pages/contact-us,FIXED - verified 02 Sep,"Verified on page; sheet had info@yoshiiroknife.com (misspelled, dead domain)"
5,Shun (KAI USA),Japanese Knives,Yes (USA HQ),kaiusa.com / shun.kaiusa.com,(no email published),Phone/social only,https://shun.kaiusa.com/contact-us,FIXED - verified 02 Sep,"Verified: NO email on either kaiusa.com or shun.kaiusa.com contact pages. Phone 503-682-1966 / 800-325-2891. Social: facebook.com/shuncutlery, instagram.com/shuncutlery"
6,Miyabi (Zwilling),Japanese Knives,Yes (USA HQ),miyabi-knives.com,press@zwilling.com,General (unverified in this pass),,OK (not re-checked),
7,Global,Japanese Knives,Yes (US dist.),yoshikin.co.jp,info@yoshikin.co.jp,General (unverified in this pass),,OK (not re-checked),
8,Tojiro,Japanese Knives,Yes (US dist.),tojiro.com,info@tojiro.com,General (unverified in this pass),,OK (not re-checked),
9,MAC Knife,Japanese Knives,Yes (USA),macknife.com,info@macknife.com,General (unverified in this pass),,OK (not re-checked),
10,Aritsugu,Japanese Knives,Japan only,aritsugu.co.jp,info@aritsugu.co.jp,General (unverified in this pass),,OK (not re-checked),
11,Koshihikari (variety),Premium Japanese Rice,Japan only,,,General (unverified in this pass),,OK (not re-checked),
12,Tamanishiki,Premium Japanese Rice,Yes (USA),jfc.com (brand owner),(no email published),Form/phone only,https://www.jfc.com/contact,FIXED - verified 02 Sep,"VERIFIED FAKE SITE FLAGGED: sheet's tamanishikirice.com uses placeholder ""555"" phone and ""1234 Rice Field Lane"" fake address - not the real company. Tamanishiki is actually a JFC International brand. JFC publishes no email, form + phone +1 323-721-6100. Social: facebook.com/JFCInternational, instagram.com/jfcinternational"
13,Tamaki Gold,Premium Japanese Rice,Yes (USA),tamakimai.com,info@tamakimai.com,General,https://www.tamakimai.com/,FIXED - verified 02 Sep,"Verified on page. Williams, CA grower/packer. Sales agent Icrest International also lists info@icrest-llc.com"
