No,Country,Category,Company,Tier,Dedupe Note
1,Japan,Wasabi,S&B Foods,1,
2,Japan,Wasabi,Kinjirushi Wasabi,1,
3,Japan,Wasabi,Marui Wasabi,2,
4,Japan,Wasabi,Kameya Foods,3,
5,Japan,Wasabi,Tamaruya Honten,3,
6,Japan,Soy Sauce,Kikkoman,1,Also appears under Vinegar - one contact covers both
7,Japan,Soy Sauce,Yamasa,2,
8,Japan,Soy Sauce,Higashimaru Shoyu,3,
9,Japan,Soy Sauce,Marukin Shoyu,3,
10,Japan,Soy Sauce,Fundokin,3,
11,Japan,Rice Vinegar,Marukan Vinegar,1,
12,Japan,Rice Vinegar,Mizkan,1,
13,Japan,Rice Vinegar,Uchibori Vinegar,3,
14,Japan,Rice Vinegar,Otafuku Sauce,2,
15,Japan,Nori,Yamamotoyama,1,Also appears under Green Tea - one contact covers both
16,Japan,Nori,Takaokaya,2,
17,Japan,Nori,Shirako Nori,3,
18,Japan,Nori,Nagai Nori,3,
19,Japan,Nori,Kaneryo Seaweed,3,
20,Japan,Whisky,Suntory / House of Suntory,1,
21,Japan,Whisky,Nikka Whisky / Asahi Group,1,
22,Japan,Whisky,Mars Whisky / Hombo Shuzo,3,
23,Japan,Whisky,Chichibu / Venture Whisky,3,
24,Japan,Whisky,Kanosuke Distillery,3,
25,Japan,Sake,Gekkeikan,1,
26,Japan,Sake,Ozeki,2,
27,Japan,Sake,Dassai / Asahi Shuzo,1,
28,Japan,Sake,Hakkaisan,2,
29,Japan,Sake,Kubota / Asahi Shuzo (Niigata),3,Different company from Dassai despite same English name
30,Japan,Green Tea,ITO EN,1,
31,Japan,Green Tea,Sugimoto Tea Company,2,
32,Japan,Green Tea,Aiya / Aiya America,2,
33,Japan,Green Tea,Maeda-en,3,
34,Japan,Snacks,Calbee,1,
35,Japan,Snacks,Ezaki Glico (Pocky),1,
36,Japan,Snacks,Morinaga (HI-CHEW),2,
37,Japan,Snacks,Meiji,2,
38,Japan,Snacks,Koikeya,3,
39,China,Soy Sauce,Lee Kum Kee,1,Also covers Oyster Sauce
40,China,Soy Sauce,Pearl River Bridge,1,Also covers Oyster Sauce
41,China,Soy Sauce,Haitian / Haday,1,Also covers Oyster Sauce
42,China,Soy Sauce,Qianhe,2,Also covers Oyster Sauce and Vinegar
43,China,Soy Sauce,Amoy,2,Also covers Oyster Sauce
44,China,Vinegar,Hengshun,1,
45,China,Vinegar,Gold Plum / Jinshan,2,
46,China,Vinegar,Donghu,3,
47,China,Vinegar,Shuita,3,
48,China,Rice,Shiyue Daotian,1,
49,China,Rice,Beidahuang,2,
50,China,Rice,COFCO / Fortune,2,
51,China,Rice,Jinlongyu / Arowana,3,Owned by Yihai Kerry/Wilmar - flag ownership
52,China,Rice,Yangguang 100 / Sunshine 100,3,
53,China,Mooncakes,Kee Wah Bakery,1,
54,China,Mooncakes,Wing Wah,1,
55,China,Mooncakes,Maxim's / Mei-Xin,2,
56,China,Mooncakes,Guangzhou Restaurant / Likoufu,3,
57,China,Mooncakes,Daoxiangcun,3,
58,China,Snacks,Want Want,1,
59,China,Snacks,White Rabbit / Bright Food,1,
60,China,Snacks,Weilong,1,
61,China,Snacks,Three Squirrels,3,
62,China,Snacks,Bestore / Liangpin Puzi,3,
63,China,Baijiu,Kweichow Moutai,1,
64,China,Baijiu,Wuliangye,1,
65,China,Baijiu,Luzhou Laojiao,2,
66,China,Baijiu,Fenjiu / Shanxi Xinghuacun,3,
67,China,Baijiu,Yanghe,3,
68,China,Tea,China Tea / Zhongcha,2,
69,China,Tea,Bama Tea,1,
70,China,Tea,Wuyutai,1,
71,China,Tea,Zhang Yiyuan,3,
72,China,Tea,Tenfu / Ten Fu,3,
73,China,Tea,HEYTEA,1,
74,Vietnam,Chili Sauce,CHIN-SU / Masan Consumer,1,Also covers Fish Sauce and Oyster Sauce
75,Vietnam,Chili Sauce,Cholimex Food,2,Also covers Oyster Sauce
76,Vietnam,Chili Sauce,Nam Duong,2,Also covers Oyster Sauce
77,Vietnam,Chili Sauce,Dh Foods,3,
78,Vietnam,Chili Sauce,VIFON,1,Also covers Noodles and Vinegar
79,Vietnam,Fish Sauce,Red Boat Fish Sauce,1,
80,Vietnam,Fish Sauce,Khai Hoan,2,
81,Vietnam,Fish Sauce,Phu Quoc Thanh Quoc,3,
82,Vietnam,Fish Sauce,Hung Thinh,3,
83,Vietnam,Coffee,Trung Nguyen / G7,1,
84,Vietnam,Coffee,King Coffee,1,
85,Vietnam,Coffee,Nguyen Coffee Supply,1,
86,Vietnam,Coffee,Vinacafe,2,
87,Vietnam,Coffee,Mr. Viet,3,
88,Vietnam,Noodles,Acecook Vietnam,1,
89,Vietnam,Noodles,Bich Chi,1,Also covers Rice Paper
90,Vietnam,Noodles,SAFOCO,2,Also covers Rice Paper
91,Vietnam,Rice Paper,Vinh Thuan,3,
92,Vietnam,Rice Paper,Bamboo Tree,2,
93,Vietnam,Rice Paper,Three Ladies,2,
94,Vietnam,Rice,Gao Ong Cua / Ho Quang Cua,1,
95,Vietnam,Rice,A An / Tan Long Group,2,
96,Vietnam,Rice,Vinh Hien,3,
97,Vietnam,Rice,Loc Troi,2,
98,Vietnam,Rice,Trung An,3,
99,Vietnam,Snacks,Vinamit,1,
100,Vietnam,Snacks,Bibica,2,
101,Vietnam,Snacks,Richy (Tipo),2,
102,Vietnam,Snacks,Hai Ha / HAIHACO,3,
103,Vietnam,Snacks,Kinh Do,3,Owned by Mondelez - flag ownership
104,Vietnam,Alcohol,SABECO / Bia Saigon,1,
105,Vietnam,Alcohol,HABECO / Hanoi Beer,2,
106,Vietnam,Alcohol,Song Cai Distillery,1,
107,Vietnam,Alcohol,Lady Trieu Gin,3,
108,Vietnam,Alcohol,Sampan Rhum,3,
109,Vietnam,Condensed Milk,Vinamilk / Ong Tho,1,Southern Star is same parent - do not pitch separately
110,Vietnam,Condensed Milk,Dutch Lady,3,Owned by FrieslandCampina - flag ownership
111,Vietnam,Tea,Vinatea,2,
112,Vietnam,Tea,Phuc Long,2,Corporately linked to Masan/CHIN-SU
113,Vietnam,Tea,Cozy Tea,3,
